# ----------------------------------------,,,,,,,,,
# Scanner.luxurypresence.com,,,,,,,,,
# Traffic acquisition: Session source / medium-Tab 3,,,,,,,,,
# 20260122-20260421,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Session source / medium,Event name,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,
,,,1685,1123,0.67,9.89,5.74,9664,Grand total
instantly / email,session_start,20260223,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260223,1,1,1.00,0.00,2.00,2,
instantly / email,lcp,20260223,1,1,1.00,0.00,2.00,2,
instantly / email,first_visit,20260223,1,1,1.00,0.00,1.00,1,
instantly / email,cls,20260223,1,1,1.00,0.00,2.00,2,
instantly / email,user_engagement,20260224,1,1,1.00,41.00,1.00,1,
instantly / email,session_start,20260224,2,1,0.50,0.00,1.00,2,
instantly / email,page_view,20260224,2,1,0.50,0.00,1.50,3,
instantly / email,lcp,20260224,2,1,0.50,0.00,1.50,3,
instantly / email,inp,20260224,1,1,1.00,49.00,2.00,2,
instantly / email,cls,20260224,2,1,0.50,0.00,1.50,3,
instantly / email,session_start,20260225,27,10,0.37,0.00,1.00,27,
instantly / email,page_view,20260225,27,10,0.37,0.00,1.22,33,
instantly / email,lcp,20260225,10,6,0.60,5.00,1.00,10,
instantly / email,inp,20260225,6,5,0.83,2.17,1.17,7,
instantly / email,first_visit,20260225,26,10,0.38,0.00,1.00,26,
instantly / email,cls,20260225,10,6,0.60,0.00,1.10,11,
instantly / email,view_search_results,20260226,2,2,1.00,0.00,1.00,2,
instantly / email,user_engagement,20260226,5,4,0.80,6.60,1.20,6,
instantly / email,session_start,20260226,24,13,0.54,0.00,1.00,24,
instantly / email,scroll,20260226,3,3,1.00,0.00,1.00,3,
instantly / email,page_view,20260226,23,13,0.57,2.96,1.48,34,
instantly / email,mql_form_submit,20260226,1,1,1.00,0.00,1.00,1,
instantly / email,lcp,20260226,9,7,0.78,2.00,1.11,10,
instantly / email,inp,20260226,5,5,1.00,25.60,1.40,7,
instantly / email,form_submit,20260226,2,2,1.00,25.00,1.50,3,
instantly / email,first_visit,20260226,20,10,0.50,0.00,1.00,20,
instantly / email,cls,20260226,10,8,0.80,0.00,1.10,11,
instantly / email,session_start,20260227,1,0,0.00,0.00,1.00,1,
instantly / email,page_view,20260227,1,0,0.00,0.00,1.00,1,
instantly / email,lcp,20260227,1,0,0.00,0.00,1.00,1,
instantly / email,cls,20260227,1,0,0.00,0.00,1.00,1,
instantly / email,user_engagement,20260302,2,2,1.00,1.00,1.00,2,
instantly / email,session_start,20260302,22,17,0.77,0.00,1.00,22,
instantly / email,page_view,20260302,22,17,0.77,0.00,1.27,28,
instantly / email,lcp,20260302,13,13,1.00,12.62,1.31,17,
instantly / email,inp,20260302,15,15,1.00,2.20,1.13,17,
instantly / email,first_visit,20260302,22,17,0.77,0.00,1.00,22,
instantly / email,cls,20260302,15,15,1.00,0.00,1.20,18,
instantly / email,session_start,20260303,26,16,0.62,0.00,1.00,26,
instantly / email,page_view,20260303,26,16,0.62,0.00,1.31,34,
instantly / email,lcp,20260303,17,16,0.94,17.53,1.35,23,
instantly / email,inp,20260303,16,16,1.00,0.69,1.44,23,
instantly / email,first_visit,20260303,26,16,0.62,0.00,1.00,26,
instantly / email,cls,20260303,17,16,0.94,0.00,1.29,22,
instantly / email,session_start,20260304,3,1,0.33,0.00,1.00,3,
instantly / email,page_view,20260304,3,1,0.33,0.00,1.00,3,
instantly / email,lcp,20260304,1,1,1.00,0.00,1.00,1,
instantly / email,first_visit,20260304,2,1,0.50,0.00,1.00,2,
instantly / email,cls,20260304,1,1,1.00,0.00,1.00,1,
instantly / email,view_search_results,20260305,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260305,2,1,0.50,5.50,1.00,2,
instantly / email,session_start,20260305,43,24,0.56,0.00,1.00,43,
instantly / email,scroll,20260305,2,2,1.00,0.50,1.00,2,
instantly / email,page_view,20260305,42,24,0.57,0.00,1.45,61,
instantly / email,lcp,20260305,18,18,1.00,14.06,1.22,22,
instantly / email,inp,20260305,14,14,1.00,0.21,1.21,17,
instantly / email,form_submit,20260305,1,1,1.00,15.00,1.00,1,
instantly / email,first_visit,20260305,42,24,0.57,0.00,1.00,42,
instantly / email,cls,20260305,16,16,1.00,0.00,1.25,20,
instantly / email,session_start,20260306,18,7,0.39,0.00,1.00,18,
instantly / email,page_view,20260306,18,7,0.39,0.00,1.33,24,
instantly / email,lcp,20260306,8,6,0.75,6.13,1.38,11,
instantly / email,inp,20260306,5,4,0.80,0.40,1.40,7,
instantly / email,first_visit,20260306,18,7,0.39,0.00,1.00,18,
instantly / email,cls,20260306,6,5,0.83,0.83,1.50,9,
instantly / email,user_engagement,20260309,1,1,1.00,40.00,2.00,2,
instantly / email,session_start,20260309,34,21,0.62,0.00,1.00,34,
instantly / email,page_view,20260309,34,21,0.62,0.00,1.41,48,
instantly / email,lcp,20260309,17,15,0.88,12.53,1.29,22,
instantly / email,inp,20260309,17,17,1.00,2.35,1.35,23,
instantly / email,first_visit,20260309,33,21,0.64,0.00,1.00,33,
instantly / email,cls,20260309,19,18,0.95,0.00,1.37,26,
instantly / email,view_search_results,20260310,3,3,1.00,0.00,1.33,4,
instantly / email,user_engagement,20260310,4,4,1.00,11.75,1.00,4,
instantly / email,session_start,20260310,36,24,0.67,0.00,1.00,36,
instantly / email,scroll,20260310,2,2,1.00,0.00,1.50,3,
instantly / email,page_view,20260310,36,24,0.67,6.58,1.81,65,
instantly / email,mql_form_submit,20260310,2,2,1.00,0.00,1.50,3,
instantly / email,lcp,20260310,19,16,0.84,7.58,1.37,26,
instantly / email,inp,20260310,16,15,0.94,12.06,1.56,25,
instantly / email,form_submit,20260310,3,3,1.00,32.33,2.33,7,
instantly / email,first_visit,20260310,35,23,0.66,0.00,1.00,35,
instantly / email,cls,20260310,20,16,0.80,0.00,1.25,25,
instantly / email,booking-confirmed,20260310,1,1,1.00,93.00,1.00,1,
instantly / email,user_engagement,20260311,1,0,0.00,0.00,1.00,1,
instantly / email,session_start,20260311,21,11,0.52,0.00,1.00,21,
instantly / email,page_view,20260311,20,11,0.55,0.00,1.30,26,
instantly / email,lcp,20260311,8,8,1.00,7.38,1.13,9,
instantly / email,inp,20260311,6,6,1.00,35.50,1.00,6,
instantly / email,first_visit,20260311,20,11,0.55,0.00,1.00,20,
instantly / email,cls,20260311,9,9,1.00,0.00,1.00,9,
instantly / email,view_search_results,20260312,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260312,1,1,1.00,27.00,2.00,2,
instantly / email,session_start,20260312,24,15,0.63,0.00,1.00,24,
instantly / email,scroll,20260312,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260312,24,15,0.63,0.00,1.38,33,
instantly / email,lcp,20260312,9,9,1.00,7.78,1.11,10,
instantly / email,inp,20260312,13,13,1.00,3.31,1.31,17,
instantly / email,form_submit,20260312,1,1,1.00,5.00,1.00,1,
instantly / email,first_visit,20260312,24,15,0.63,0.00,1.00,24,
instantly / email,cls,20260312,13,13,1.00,0.00,1.23,16,
instantly / email,user_engagement,20260313,4,3,0.75,11.75,1.00,4,
instantly / email,session_start,20260313,90,31,0.34,0.00,1.00,90,
instantly / email,scroll,20260313,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260313,90,31,0.34,0.00,1.27,114,
instantly / email,lcp,20260313,29,22,0.76,9.62,1.28,37,
instantly / email,inp,20260313,21,21,1.00,1.67,1.43,30,
instantly / email,first_visit,20260313,89,31,0.35,0.00,1.00,89,
instantly / email,cls,20260313,30,23,0.77,0.00,1.27,38,
instantly / email,click,20260313,1,1,1.00,0.00,1.00,1,
instantly / email,session_start,20260314,4,1,0.25,0.00,1.00,4,
instantly / email,page_view,20260314,4,1,0.25,0.00,1.00,4,
instantly / email,lcp,20260314,2,1,0.50,0.00,1.00,2,
instantly / email,first_visit,20260314,4,1,0.25,0.00,1.00,4,
instantly / email,cls,20260314,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260316,4,3,0.75,28.75,1.75,7,
instantly / email,session_start,20260316,109,57,0.52,0.00,1.00,109,
instantly / email,scroll,20260316,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260316,108,57,0.53,0.00,1.30,140,
instantly / email,lcp,20260316,52,41,0.79,8.73,1.15,60,
instantly / email,inp,20260316,42,42,1.00,2.50,1.36,57,
instantly / email,form_submit,20260316,2,2,1.00,9.00,1.00,2,
instantly / email,first_visit,20260316,107,56,0.52,0.00,1.00,107,
instantly / email,cls,20260316,53,42,0.79,0.00,1.26,67,
instantly / email,session_start,20260317,18,9,0.50,0.00,1.00,18,
instantly / email,page_view,20260317,18,9,0.50,0.00,1.28,23,
instantly / email,lcp,20260317,7,7,1.00,20.71,1.57,11,
instantly / email,inp,20260317,8,8,1.00,2.50,1.63,13,
instantly / email,first_visit,20260317,18,9,0.50,0.00,1.00,18,
instantly / email,cls,20260317,8,8,1.00,0.00,1.63,13,
instantly / email,user_engagement,20260318,2,2,1.00,6.50,1.00,2,
instantly / email,session_start,20260318,22,15,0.68,0.00,1.00,22,
instantly / email,scroll,20260318,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260318,22,15,0.68,0.05,1.68,37,
instantly / email,lcp,20260318,10,10,1.00,16.80,1.40,14,
instantly / email,inp,20260318,10,10,1.00,1.00,1.50,15,
instantly / email,first_visit,20260318,20,14,0.70,0.00,1.00,20,
instantly / email,cls,20260318,10,10,1.00,0.00,1.50,15,
instantly / email,view_search_results,20260319,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260319,2,2,1.00,8.00,1.50,3,
instantly / email,session_start,20260319,19,12,0.63,0.00,1.00,19,
instantly / email,scroll,20260319,1,1,1.00,0.00,2.00,2,
instantly / email,page_view,20260319,19,12,0.63,0.00,1.63,31,
instantly / email,lcp,20260319,9,9,1.00,16.67,1.44,13,
instantly / email,inp,20260319,8,8,1.00,0.50,1.50,12,
instantly / email,form_submit,20260319,1,1,1.00,14.00,1.00,1,
instantly / email,first_visit,20260319,19,12,0.63,0.00,1.00,19,
instantly / email,cls,20260319,8,8,1.00,0.13,1.75,14,
instantly / email,view_search_results,20260320,4,4,1.00,0.00,1.00,4,
instantly / email,user_engagement,20260320,6,4,0.67,62.17,1.17,7,
instantly / email,session_start,20260320,45,33,0.73,0.00,1.00,45,
instantly / email,scroll,20260320,4,4,1.00,0.00,1.25,5,
instantly / email,page_view,20260320,44,33,0.75,0.00,1.50,66,
instantly / email,mql_form_submit,20260320,2,2,1.00,0.00,1.00,2,
instantly / email,lcp,20260320,31,28,0.90,9.03,1.39,43,
instantly / email,inp,20260320,25,24,0.96,1.28,1.32,33,
instantly / email,form_submit,20260320,5,5,1.00,22.40,1.40,7,
instantly / email,first_visit,20260320,43,33,0.77,0.00,1.00,43,
instantly / email,cls,20260320,27,25,0.93,0.00,1.37,37,
instantly / email,session_start,20260321,6,1,0.17,0.00,1.00,6,
instantly / email,page_view,20260321,6,1,0.17,0.00,1.00,6,
instantly / email,lcp,20260321,2,1,0.50,0.50,1.00,2,
instantly / email,first_visit,20260321,6,1,0.17,0.00,1.00,6,
instantly / email,cls,20260321,1,1,1.00,0.00,1.00,1,
instantly / email,view_search_results,20260323,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260323,4,4,1.00,10.50,1.25,5,
instantly / email,session_start,20260323,85,62,0.73,0.00,1.00,85,
instantly / email,scroll,20260323,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260323,85,62,0.73,0.00,1.41,120,
instantly / email,lcp,20260323,64,55,0.86,8.02,1.23,79,
instantly / email,inp,20260323,44,43,0.98,1.64,1.18,52,
instantly / email,form_submit,20260323,2,2,1.00,23.50,1.00,2,
instantly / email,first_visit,20260323,84,61,0.73,0.00,1.00,84,
instantly / email,cls,20260323,64,55,0.86,0.27,1.30,83,
instantly / email,view_search_results,20260324,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260324,2,0,0.00,0.00,1.00,2,
instantly / email,session_start,20260324,42,31,0.74,0.00,1.00,42,
instantly / email,page_view,20260324,40,31,0.78,0.00,1.38,55,
instantly / email,lcp,20260324,29,28,0.97,12.59,1.24,36,
