# ----------------------------------------,,,,,,,,,,
# Traffic acquisition: Session source / medium,,,,,,,,,,
# Account: LP Performance Master B,,,,,,,,,,
# Property: Scanner.luxurypresence.com,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
#,,,,,,,,,,
# All Users,,,,,,,,,,
# Start date: 20260401,,,,,,,,,,
# End date: 20260430,,,,,,,,,,
Session source / medium,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Form Submits,Key events,Session key event rate,Total revenue
instantly / (not set),20260401,1,1,1,7,6,0,0,0,0
instantly / email,20260401,22,17,0.7727272727,11.04545455,5.772727273,0,0,0,0
instantly / email,20260402,35,28,0.8,10.85714286,5.971428571,7,0,0,0
instantly / email,20260403,37,29,0.7837837838,11.59459459,5.972972973,7,0,0,0
instantly / email,20260406,103,73,0.7087378641,11.37864078,5.844660194,8,0,0,0
instantly / email,20260407,68,54,0.7941176471,7.352941176,6.220588235,23,0,0,0
instantly / email,20260408,57,40,0.701754386,9.157894737,6.157894737,13,0,0,0
instantly / email,20260409,33,24,0.7272727273,7.272727273,5.515151515,6,0,0,0
instantly / email,20260410,47,36,0.7659574468,10.25531915,5.744680851,8,0,0,0
instantly / email,20260413,41,27,0.6585365854,13.09756098,5.780487805,2,0,0,0
instantly / email,20260414,28,22,0.7857142857,8.964285714,5.857142857,6,0,0,0
instantly / email,20260415,65,49,0.7538461538,14.10769231,6.030769231,13,0,0,0
instantly / email,20260416,58,43,0.7413793103,13.06896552,7.034482759,2,0,0,0
instantly / email,20260417,68,55,0.8088235294,9.588235294,6.102941176,1,0,0,0
instantly / email,20260420,87,56,0.6436781609,9.942528736,5.275862069,0,0,0,0
instantly / email,20260421,89,65,0.7303370787,10.50561798,5.640449438,1,0,0,0
instantly / email,20260422,84,60,0.7142857143,10.95238095,5.44047619,0,0,0,0
instantly / email,20260423,48,36,0.75,10.375,5.4375,0,0,0,0
instantly / email,20260424,2,2,1,262.5,134,21,0,0,0
instantly / email,20260427,2,2,1,117.5,21,3,0,0,0
instantly / email,20260428,7,2,0.2857142857,23.71428571,9.142857143,4,0,0,0
instantly / email,20260429,3,3,1,5,13.66666667,3,0,0,0
instantly / email,20260430,106,86,0.8113207547,23.36792453,5.990566038,5,0,0,0
